ebno_db,predicted_mcs_index,oracle_mcs_index,ai_throughput,robust_throughput,aggressive_throughput,oracle_throughput
-10.0,0,0,0.0,0.0,0.0,0.0
-8.0,0,0,0.0,0.0,0.0,0.0
-6.0,0,0,0.0,0.0,0.0,0.0
-4.0,0,0,0.0,0.0,0.0,0.0
-2.0,0,0,0.0,0.0,0.0,0.0
0.0,0,0,117.0,102.0,0.0,114.0
2.0,0,0,720.0,624.0,0.0,708.0
4.0,0,0,1095.0,1119.0,0.0,1077.0
6.0,0,0,1200.0,1296.0,0.0,1251.0
8.0,1,0,1894.5,1398.0,837.0,1368.0
10.0,1,0,2128.5,1437.0,3132.0,1422.0
12.0,2,2,2790.0,1461.0,4603.5,2832.0
14.0,4,3,5004.0,1494.0,5683.5,4158.0
16.0,5,4,6115.5,1524.0,6156.0,5544.0
18.0,5,5,6264.0,1524.0,6358.5,6385.5
20.0,5,5,6588.0,1530.0,6601.5,6507.0
