ebno_db,ber,bler,throughput_bits_per_frame,spectral_efficiency_bps_hz,modulation,coderate,code_family,channel_type,channel_profile,estimator_type,mimo_mode
-10.0,0.4137786865234375,1.0,0.0,0.0,QPSK,0.5,ldpc,cdl,A,ls,2x2
-8.0,0.3799962361653646,1.0,0.0,0.0,QPSK,0.5,ldpc,cdl,A,ls,2x2
-6.0,0.33882276746961804,1.0,0.0,0.0,QPSK,0.5,ldpc,cdl,A,ls,2x2
-4.0,0.2871793958875868,1.0,0.0,0.0,QPSK,0.5,ldpc,cdl,A,ls,2x2
-2.0,0.21046379937065973,1.0,0.0,0.0,QPSK,0.5,ldpc,cdl,A,ls,2x2
0.0,0.12006106906467014,0.9411458333333333,90.39999999999998,0.1177083333333333,QPSK,0.5,ldpc,cdl,A,ls,2x2
2.0,0.061028544108072916,0.5505208333333333,690.4,0.8989583333333333,QPSK,0.5,ldpc,cdl,A,ls,2x2
4.0,0.03383822970920139,0.31875,1046.4,1.3625,QPSK,0.5,ldpc,cdl,A,ls,2x2
6.0,0.01834174262152778,0.17265625,1270.8000000000002,1.6546875,QPSK,0.5,ldpc,cdl,A,ls,2x2
8.0,0.010930209689670138,0.10104166666666667,1380.8,1.7979166666666666,QPSK,0.5,ldpc,cdl,A,ls,2x2
10.0,0.006674533420138889,0.065625,1435.1999999999998,1.86875,QPSK,0.5,ldpc,cdl,A,ls,2x2
12.0,0.0036107381184895832,0.034895833333333334,1482.4,1.9302083333333333,QPSK,0.5,ldpc,cdl,A,ls,2x2
14.0,0.0024646335177951387,0.02578125,1496.4,1.9484375,QPSK,0.5,ldpc,cdl,A,ls,2x2
16.0,0.0015175713433159721,0.015364583333333333,1512.4,1.9692708333333333,QPSK,0.5,ldpc,cdl,A,ls,2x2
18.0,0.0009824964735243055,0.009635416666666667,1521.2,1.9807291666666667,QPSK,0.5,ldpc,cdl,A,ls,2x2
20.0,0.0006169637044270833,0.006510416666666667,1526.0,1.9869791666666667,QPSK,0.5,ldpc,cdl,A,ls,2x2
